word,count_correct,count_appear,count_incorrect
bipartite graph,0,0,0
bipartite matching,0,0,0
bit,0,0,0
bit error rate - bre,0,0,0
bit mask,0,0,0
bit parity,0,0,0
bit per second,0,0,0
bit-interleaved parity organization,0,0,0
bit-level striping,0,0,0
bitcoin,0,0,0
bitdefender,0,0,0
bitlocker,0,0,0
bitmap,0,0,0
bitmap header,0,0,0
bitmap indices,0,0,0
bitmask,0,0,0
bitnet,0,0,0
bits,0,0,0
bitstream file,0,0,0
bittorrent,0,0,0
bitwise copy,0,0,0
bitwise operator,0,0,0
black-box transformations,0,0,0
blackberry world,0,0,0
blank,0,0,0
blind writes,0,0,0
blob detection,0,0,0
block,0,0,0
block cipher,0,0,0
block ciphers,0,0,0
block nested-loop join,0,0,0
block-interleaved distributed parity,0,0,0
block-interleaved parity organization,0,0,0
block-level striping,0,0,0
blockchain,0,0,0
blocking (synchronous) message passing,0,0,0
blowfish,0,0,0
bluetooth,0,0,0
bluetooth low energy,0,0,0
bluray,0,0,0
bookmark,0,0,0
boolean,0,0,0
boolean operations,0,0,0
boolean operator,0,0,0
boosting,0,0,0
boot control block,0,0,0
boot disk,0,0,0
boot partition,0,0,0
boot sector,0,0,0
bootstrap,0,0,0
bootstrap programs,0,0,0
bootstrapping,0,0,0
border gateway protocol,0,0,0
boruvska algorithm,0,0,0
botnet,0,0,0
bottleneck link,0,0,0
bottlenecks,0,0,0
bottom-up,0,0,0
bottom-up programming,0,0,0
bound template friend functions,0,0,0
boyce-codd normal form,0,0,0
branch statements,0,0,0
branching statements,0,0,0
breadth first search,0,0,0
bridge,0,0,0
bridge pattern,0,0,0
broadband,0,0,0
broadcast,0,0,0
broadcast data,0,0,0
broadcast domain,0,0,0
broadcast routing algorithms,0,0,0
broadcast storm,0,0,0
broadcasting,0,0,0
broken link,0,0,0
browsers,0,0,0
brute force,0,0,0
brute force search,0,0,0
btalk,0,0,0
bubble sort,0,0,0
buffer,0,0,0
buffer cache,0,0,0
buffer manager,0,0,0
buffer overflow,0,0,0
buffer pools,0,0,0
buffer-overflow attacks,0,0,0
buffered distributors,0,0,0
buffering,0,0,0
buffers,0,0,0
bug,0,0,0
builder pattern,0,0,0
built-in class,0,0,0
built-in data type,0,0,0
bulk export/import/search,0,0,0
bully algorithm,0,0,0
burst size,0,0,0
bus architecture,0,0,0
bus system,0,0,0
business intelligence suite (obi),0,0,0
business intelligent,0,0,0
business logic layer,0,0,0
business logic services,0,0,0
business logic tier,0,0,0
busy waiting,0,0,0
byte stuffing,0,0,0
byte-code,0,0,0
c,0,0,0
c#,0,0,0
c++,0,0,0
c-style casting,0,0,0
cable,0,0,0
cable internet access,0,0,0
cable modem termination system,0,0,0
cache,0,0,0
cache coherency,0,0,0
cache hit,0,0,0
cache-consistency problem,0,0,0
cache-friendly,0,0,0
caesar cipher,0,0,0
calculator,0,0,0
calculus,0,0,0
call admission,0,0,0
call back,0,0,0
call level interface (cli) standards,0,0,0
call of duty,0,0,0
call setup protocol,0,0,0
callable statements,0,0,0
callbacks,0,0,0
calling convention,0,0,0
candidate key,0,0,0
candy crush,0,0,0
canny edge detector,0,0,0
canonical cover,0,0,0
canonical hostnames,0,0,0
capital letter,0,0,0
caps lock,0,0,0
captcha,0,0,0
capture the flag,0,0,0
car-to-car communication,0,0,0
card,0,0,0
carrier sense multiple access - csma,0,0,0
cartesian product,0,0,0
cartesian products,0,0,0
cascadeless schedules,0,0,0
cascading style sheets,0,0,0
cascading stylesheet (css) standard,0,0,0
cascading termination,0,0,0
case construct,0,0,0
case sensitivity,0,0,0
case study,0,0,0
casting,0,0,0
casting data types,0,0,0
catalog,0,0,0
catalogs,0,0,0
catching exceptions,0,0,0
categories,0,0,0
cell phones,0,0,0
cellular network,0,0,0
central processing unit,0,0,0
centralized architectures,0,0,0
centralized deadlock detection,0,0,0
centroid decomposition,0,0,0
certificate,0,0,0
certificate authorities,0,0,0
certificate authority,0,0,0
certification authority,0,0,0
chain of responsibility pattern,0,0,0
challenge-response system,0,0,0
change isolation level,0,0,0
channel propagation delay,0,0,0
channels,0,0,0
character,0,0,0
character encoding,0,0,0
character frequency analysis,0,0,0
character map,0,0,0
chatgpt,0,0,0
cheapfake,0,0,0
checkpoint log record,0,0,0
checkpointing,0,0,0
checksum,0,0,0
child process,0,0,0
chinese remainder theorem,0,0,0
chmod,0,0,0
chromebook,0,0,0
cia triad,0,0,0
cidr classless  interdomain routing,0,0,0
cipher-block chaining,0,0,0
circuit,0,0,0
circuit switching,0,0,0
circular distributed hash tables,0,0,0
circular linked list,0,0,0
circular scheduling,0,0,0
cisco,0,0,0
cisco system,0,0,0
clang,0,0,0
class,0,0,0
class declaration,0,0,0
class diagram,0,0,0
class implementation,0,0,0
class name,0,0,0
class-level member,0,0,0
class-level method,0,0,0
classful addressing,0,0,0
classification,0,0,0
classification hierarchy,0,0,0
classless inter-domain routing,0,0,0
clear to send,0,0,0
client,0,0,0
client application buffer,0,0,0
client socket,0,0,0
client-server application,0,0,0
client-server model,0,0,0
client-server paradigm,0,0,0
client-server protocol,0,0,0
client-server systems,0,0,0
client-side scripting,0,0,0
clique,0,0,0
clock rate,0,0,0
clock speed,0,0,0
clone,0,0,0
cloning,0,0,0
cloning pattern,0,0,0
closed-source operating systems,0,0,0
cloud computing,0,0,0
cloud storage,0,0,0
cluster,0,0,0
cluster index,0,0,0
cluster remapping,0,0,0
cluster selection strategy,0,0,0
clusters,0,0,0
coaxial cable,0,0,0
cobol,0,0,0
cocktail sort,0,0,0
cocos,0,0,0
code,0,0,0
code block,0,0,0
code breaking,0,0,0
code division multiple access,0,0,0
code duplication,0,0,0
code reuse,0,0,0
coding theory,0,0,0
coefficient,0,0,0
coldfusion markup language (cfml),0,0,0
collect function,0,0,0
collision,0,0,0
collision avoidance,0,0,0
collision detection,0,0,0
collision domain,0,0,0
column-oriented storage,0,0,0
combinatoric,0,0,0
combo box,0,0,0
command injection,0,0,0
command pattern,0,0,0
command-line,0,0,0
command-line interface,0,0,0
commit,0,0,0
commit protocols,0,0,0
common gateway interface (cgi) standard,0,0,0
common internet file system,0,0,0
common language runtime (clr),0,0,0
common object request broker architecture (corba),0,0,0
common runtime language,0,0,0
common subexpression elimination,0,0,0
communication,0,0,0
communication diagram,0,0,0
communication system calls,0,0,0
communications sessions,0,0,0
compaq,0,0,0
compare,0,0,0
compatibility function,0,0,0
compensation log records (clrs),0,0,0
compiler,0,0,0
completely automated public turing test to tell computers and humans apart,0,0,0
complex data types,0,0,0
complex instruction set computing,0,0,0
complexity,0,0,0
component,0,0,0
component object model,0,0,0
component object model (com),0,0,0
composite number,0,0,0
composite pattern,0,0,0
composite structure diagram,0,0,0
composition,0,0,0
compound statements,0,0,0
compression ratio,0,0,0
compression units,0,0,0
computation migration,0,0,0
computational complexity theory,0,0,0
computational geometry,0,0,0
computer environments,0,0,0
computer graphics,0,0,0
computer network,0,0,0
computer networking,0,0,0
computer science,0,0,0
computer science network,0,0,0
computer security,0,0,0
computer vision,0,0,0
computer-aided design (cad),0,0,0
concatenating,0,0,0
concatenation,0,0,0
conceptual design,0,0,0
concrete class,0,0,0
concrete subclass,0,0,0
concurrency control,0,0,0
concurrency pattern,0,0,0
concurrency-control algorithms,0,0,0
condition,0,0,0
condition-defined entity sets,0,0,0
conditional expression,0,0,0
confidentiality,0,0,0
configuration management,0,0,0
conflict resolution module,0,0,0
conformance levels,0,0,0
congestion avoidance,0,0,0
congestion control,0,0,0
congestion indication bit,0,0,0
connected component,0,0,0
connection-establishment request,0,0,0
connection-oriented,0,0,0
connection-oriented service,0,0,0
connection-oriented sockets,0,0,0
connectionless,0,0,0
connectionless sockets,0,0,0
connectivity,0,0,0
consistency,0,0,0
consistency checking,0,0,0
const casting,0,0,0
const member functions,0,0,0
constant,0,0,0
constant bit rate,0,0,0
constant time complexity,0,0,0
constraint,0,0,0
constraint programming,0,0,0
constructor,0,0,0
consumer electronics show,0,0,0
consumers,0,0,0
container,0,0,0
container orchestration,0,0,0
contains,0,0,0
content delivery network,0,0,0
content distribution networks,0,0,0
content management system,0,0,0
content provider networks,0,0,0
context menu,0,0,0
context switch,0,0,0
context switches,0,0,0
contiguous memory allocation,0,0,0
contrastive learning,0,0,0
control abstraction,0,0,0
control flows,0,0,0
control plane software,0,0,0
control register,0,0,0
control structure,0,0,0
control-card interpreter,0,0,0
controlled flooding,0,0,0
controller,0,0,0
conventional cryptosystem,0,0,0
converge,0,0,0
conversation group,0,0,0
conversational applications,0,0,0
converter,0,0,0
converting data types,0,0,0
convex hull,0,0,0
convolution,0,0,0
cookie,0,0,0
cookies,0,0,0
cooling fan,0,0,0
cooperating processes,0,0,0
coordinates,0,0,0
coprime,0,0,0
copy,0,0,0
copy constructor,0,0,0
core dump,0,0,0
correlated subqueries,0,0,0
correlation variables,0,0,0
cortana,0,0,0
cost function,0,0,0
count-distinct,0,0,0
counter strike,0,0,0
counting sort,0,0,0
counting-based page replacement,0,0,0
coursera,0,0,0
crackers,0,0,0
crash dump,0,0,0
create assertion,0,0,0
create distinct type,0,0,0
creational pattern,0,0,0
critical node,0,0,0
critical section,0,0,0
critical-section problem,0,0,0
cross entropy,0,0,0
cross platform,0,0,0
cross product,0,0,0
cross site request forgery,0,0,0
cross site scripting,0,0,0
cross-platform software,0,0,0
cross-product,0,0,0
cross-site request forgery (xsrf),0,0,0
cross-site scripting (xss),0,0,0
crossbar switch,0,0,0
crowdfunding,0,0,0
crowdsourcing,0,0,0
crt monitor,0,0,0
cryptanalysis,0,0,0
cryptocurrency,0,0,0
cryptographic hash functions,0,0,0
cryptography,0,0,0
cryptojacking,0,0,0
cryptology,0,0,0
cryptosystem,0,0,0
csma/ca,0,0,0
csnet,0,0,0
cuda,0,0,0
cumulative acknowledgments,0,0,0
cursor,0,0,0
customer-provider relationship,0,0,0
cyber crime investigation,0,0,0
cyber-physical production systems,0,0,0
cycle,0,0,0
cycle stealing,0,0,0
cyclic redundancy check codes,0,0,0
cygwin,0,0,0
cylinder,0,0,0
cylinder groups,0,0,0
dalvik virtual machine,0,0,0
dashboard,0,0,0
data,0,0,0
data abstraction,0,0,0
data access layer,0,0,0
data access object,0,0,0
data access services,0,0,0
data access tier,0,0,0
data capability,0,0,0
data center,0,0,0
data center networks,0,0,0
data cleansing,0,0,0
data control language,0,0,0
data definition language,0,0,0
data encryption algorithm,0,0,0
data encryption standard (des),0,0,0
data execution prevention,0,0,0
data flow diagram,0,0,0
data hiding,0,0,0
data link,0,0,0
data management,0,0,0
data manipulation language,0,0,0
data member,0,0,0
data migration,0,0,0
data mining,0,0,0
data models,0,0,0
data parallelism,0,0,0
data payload,0,0,0
data server systems,0,0,0
data storage and definition language,0,0,0
data structure,0,0,0
data structure diagram,0,0,0
data tampering,0,0,0
data transfer,0,0,0
data transfer object,0,0,0
data type,0,0,0
data type definition,0,0,0
data warehouse,0,0,0
data-definition language (ddl),0,0,0
data-encryption standard,0,0,0
data-link layer,0,0,0
data-manipulation language (dml),0,0,0
data-over-cable service interface specifications,0,0,0
data-transfer rate,0,0,0
database,0,0,0
database administrator,0,0,0
database designer,0,0,0
database graph,0,0,0
database instance,0,0,0
database instance:,0,0,0
database management system,0,0,0
database programer,0,0,0
database replica,0,0,0
database resource management,0,0,0
database schema,0,0,0
database schema:,0,0,0
database security,0,0,0
database systems,0,0,0
database task group,0,0,0
database writer process,0,0,0
databases administrator (dba),0,0,0
datacenter,0,0,0
datagram,0,0,0
datagram networks,0,0,0
datagrid control,0,0,0
datalink layer,0,0,0
datallegro,0,0,0
datalog,0,0,0
datasets,0,0,0
datetime,0,0,0
db2,0,0,0
deadlines,0,0,0
deadlock,0,0,0
deadlock-detection coordinator,0,0,0
debug,0,0,0
debugger,0,0,0
debugging,0,0,0
decentralized routing algorithm,0,0,0
decision problem,0,0,0
decision table,0,0,0
decision tree,0,0,0
decision-support systems,0,0,0
decision-tree classifiers,0,0,0
declarative region,0,0,0
declare,0,0,0
decode,0,0,0
decompiler,0,0,0
decomposition,0,0,0
decomposition rule,0,0,0
decorator pattern,0,0,0
decrement operator,0,0,0
decryption,0,0,0
deduplication,0,0,0
deep blue,0,0,0
deep copy,0,0,0
deep copying,0,0,0
deep first search,0,0,0
deep learning,0,0,0
deep packet inspection,0,0,0
deep reinforcement learning,0,0,0
deep web crawlers,0,0,0
deepfake,0,0,0
deepfake detection,0,0,0
deepfake technology,0,0,0
default arguments,0,0,0
default constructor,0,0,0
default constructors,0,0,0
default gateway,0,0,0
default name server,0,0,0
default router,0,0,0
default signal handlers,0,0,0
default value,0,0,0
deferred integrity constraints,0,0,0
define,0,0,0
degree,0,0,0
degree-two consistency,0,0,0
delay-sensitive,0,0,0
delay-write policy,0,0,0
delegation,0,0,0
delete,0,0,0
delimiter,0,0,0
dell,0,0,0
delta relation,0,0,0
demand paging,0,0,0
demand-driven pipelining,0,0,0
demultiplexing,0,0,0
denial of service,0,0,0
denial-of-service attacks,0,0,0
dennis ritchie,0,0,0
denormalization,0,0,0
densenet,0,0,0
dependency preservation,0,0,0
dependent,0,0,0
deployment diagram,0,0,0
depthmap,0,0,0
dequeue,0,0,0
dereference operator,0,0,0
dereferencing operator,0,0,0
descriptive attributes,0,0,0
descriptive patterns,0,0,0
design pattern,0,0,0
destination ip address,0,0,0
destination port numbers,0,0,0
destination route,0,0,0
destination vertex,0,0,0
destructor,0,0,0
detection,0,0,0
deterministic finite automaton,0,0,0
deterministic modeling,0,0,0
device-management system calls,0,0,0
dial-up,0,0,0
dial-up access,0,0,0
diameter,0,0,0
diameter of tree,0,0,0
dictionaries,0,0,0
dictionary attacks,0,0,0
diffie-hellman algorithm,0,0,0
digital,0,0,0
digital certificates,0,0,0
digital coin,0,0,0
digital forensics,0,0,0
digital identity,0,0,0
digital image processing,0,0,0
digital signal,0,0,0
digital signal processing,0,0,0
digital signature,0,0,0
digital subscriber line,0,0,0
digital transformation,0,0,0
digital twin,0,0,0
digital watermarking,0,0,0
digitalization,0,0,0
digitization,0,0,0
digitized,0,0,0
dijkstra,0,0,0
dimension,0,0,0
dimensioning best-effort networks,0,0,0
dining-philosophers problem,0,0,0
diophantine equation,0,0,0
direct access,0,0,0
direct memory access - dma,0,0,0
direct routing,0,0,0
direct sequence wideband,0,0,0
direct virtual memory access,0,0,0
direct-access storage,0,0,0
direct-memory-access controller,0,0,0
directed acyclic graph,0,0,0
directory,0,0,0
directory information tree (dit),0,0,0
directory service,0,0,0
directory systems,0,0,0
directory traversal,0,0,0
directx,0,0,0
dirty bit,0,0,0
dirty blocks,0,0,0
dirty page table,0,0,0
dirty read,0,0,0
dirty writes,0,0,0
disable trigger,0,0,0
disassembler,0,0,0
disconnected operation,0,0,0
discrete fourier transform,0,0,0
discrete mathematics,0,0,0
discriminative,0,0,0
disjoint entity set,0,0,0
disjoint set (union),0,0,0
disjoint specialization,0,0,0
disjoint-set data structure,0,0,0
disjunction,0,0,0
disk controller,0,0,0
disk image,0,0,0
disk striping,0,0,0
disk-arm-scheduling,0,0,0
disk-based operating system,0,0,0
dispatch,0,0,0
dispatch latency,0,0,0
displacement vectors,0,0,0
distance-vector algorithm,0,0,0
distance-vector multicast routing protocol,0,0,0
distant centralized databases,0,0,0
distinct,0,0,0
distinct types,0,0,0
distinguished encoding rules,0,0,0
distinguished name (dn),0,0,0
distributed applications,0,0,0
distributed databases,0,0,0
distributed denial-of-service,0,0,0
distributed file system,0,0,0
distributed hash table,0,0,0
distributed interframe space,0,0,0
distributed ledger,0,0,0
distributed systems,0,0,0
distributed-lock manager,0,0,0
distributions,0,0,0
distributor,0,0,0
divide and conquer,0,0,0
divide-and-conquer method,0,0,0
divide-and-conquer strategy,0,0,0
divisive clustering,0,0,0
django,0,0,0
dns caching,0,0,0
docker,0,0,0
document object model (dom),0,0,0
document type definition (dtd),0,0,0
domain,0,0,0
domain constraints,0,0,0
domain name,0,0,0
domain name service (dns),0,0,0
domain name system,0,0,0
domain relational calculus,0,0,0
domain-key normal form (dknf),0,0,0
donald knuth,0,0,0
dongatory,0,0,0
doodles,0,0,0
dotted-decimal notation,0,0,0
double data rate,0,0,0
double hashing,0,0,0
double-ended priority queue,0,0,0
double-ended queue,0,0,0
double-pipelined hash-join,0,0,0
doubly linear linked list,0,0,0
doubly linked list,0,0,0
downcasting,0,0,0
dreamweaver,0,0,0
drill down,0,0,0
drive bay,0,0,0
driver-manager class,0,0,0
drop trigger,0,0,0
dropbox,0,0,0
dual-booted systems,0,0,0
dual-stack approach,0,0,0
dumping,0,0,0
duplicate elimination,0,0,0
durability,0,0,0
dvd,0,0,0
dynamic adaptive streaming over http,0,0,0
dynamic allocation,0,0,0
dynamic allocation of memory,0,0,0
dynamic array,0,0,0
dynamic cast operators,0,0,0
dynamic casting,0,0,0
dynamic host configuration protocol - dhcp,0,0,0
dynamic link library,0,0,0
dynamic memory,0,0,0
dynamic memory allocation,0,0,0
dynamic programming,0,0,0
dynamic random-access memory,0,0,0
dynamic routing algorithm,0,0,0
dynamic sql,0,0,0
dynamic storage duration,0,0,0
dynamic storage-allocation problem,0,0,0
e-book,0,0,0
e-commerce,0,0,0
e-learning,0,0,0
e-signature,0,0,0
earliest deadline first scheduling,0,0,0
early binding,0,0,0
eastern standard time,0,0,0
eclipse,0,0,0
edge,0,0,0
edge computing,0,0,0
edge router,0,0,0
edx,0,0,0
effective bandwidth,0,0,0
effective variable,0,0,0
efficiency,0,0,0
eigenvalue,0,0,0
eigenvector,0,0,0
eight queens puzzle,0,0,0
elastic applications,0,0,0
elastic compute cloud,0,0,0
election algorithms,0,0,0
electromagnetic noise,0,0,0
electronic codebook,0,0,0
electronic disk,0,0,0
electronic mail,0,0,0
elevator algorithm,0,0,0
elimination rules for routes,0,0,0
elsevier,0,0,0
emacs,0,0,0
embedded,0,0,0
embedded sql,0,0,0
embedded system,0,0,0
embedding,0,0,0
emgucv,0,0,0
emoji,0,0,0
empty relations,0,0,0
emulators,0,0,0
encapsulation,0,0,0
encapsulation security payload,0,0,0
encrypted media extensions,0,0,0
encrypted viruses,0,0,0
encryption,0,0,0
encryption scheme,0,0,0
end of file,0,0,0
end system,0,0,0
end user,0,0,0
end-point authentication,0,0,0
end-to-end,0,0,0
end-to-end congestion control,0,0,0
end-to-end delay,0,0,0
end-to-end principle,0,0,0
end-to-end throughput,0,0,0
end-user information,0,0,0
endian,0,0,0
endianess,0,0,0
enigma,0,0,0
enqueue,0,0,0
enterprise,0,0,0
enterprise information,0,0,0
enterprise resource planning (erp) systems,0,0,0
enterprises and access networks,0,0,0
entity,0,0,0
entity data model,0,0,0
entity relationship diagram,0,0,0
entity relationship model,0,0,0
entity set,0,0,0
entity-relationship,0,0,0
entropy,0,0,0
entropy measure,0,0,0
entry date accessed,0,0,0
entry date changed,0,0,0
entry date created,0,0,0
entry date modified,0,0,0
enum,0,0,0
enumerator,0,0,0
equi-joins,0,0,0
eric schmidt,0,0,0
error checking,0,0,0
error concealment,0,0,0
error detection,0,0,0
error detection-correction - edc,0,0,0
error-correcting code (ecc) organization,0,0,0
estimate,0,0,0
ethernet,0,0,0
euclid,0,0,0
euclidean algorithm,0,0,0
euclidean distance,0,0,0
euler,0,0,0
euler diagram,0,0,0
euler's formula,0,0,0
euler's totient function,0,0,0
evaluation primitive,0,0,0
event latency,0,0,0
event-driven programming,0,0,0
evolved packet core,0,0,0
except clause,0,0,0
exception,0,0,0
exception handlers,0,0,0
exception specifications,0,0,0
exceptions,0,0,0
exchange system,0,0,0
exclamation point,0,0,0
exclusive locks,0,0,0
exclusive or,0,0,0
exclusive-mode locks,0,0,0
executable files,0,0,0
exhaustive search,0,0,0
existence bitmap,0,0,0
exists clause,0,0,0
expedited forwarding,0,0,0
expert system,0,0,0
explicit casting,0,0,0
explicit forward congestion indication bit,0,0,0
explicit instantiations,0,0,0
explicit rate,0,0,0
explicit rate field,0,0,0
explicit specializations,0,0,0
exploding gradient,0,0,0
exponent,0,0,0
exponential average,0,0,0
exponential time,0,0,0
exponential weighted moving average,0,0,0
extended euclidean algorithm,0,0,0
extended finite-state machine,0,0,0
extended reality,0,0,0
extends -> extension,0,0,0
extensibility contracts,0,0,0
